run_name,legacy_alias_all43_aggregate_mean_theta,legacy_alias_all43_rank,fixed_all43_aggregate_mean_theta,fixed_all43_rank,fixed_common43_aggregate_mean_theta,fixed_common43_rank,variable_common43_aggregate_mean_theta,variable_common43_rank
run_00011,-0.4070917228831978,214,-0.44459411857860287,216,-0.44459411857860287,216,-0.4111310074006669,208
run_00158,-0.4118266813640135,215,-0.07962235002792757,147,-0.07962235002792757,147,0.1639923552643319,87
run_00067,-0.4148178136932379,216,-0.4738514436888486,219,-0.4738514436888486,219,-0.692471625112194,234
run_00033,-0.4249332024547996,217,-0.07183618247392627,145,-0.07183618247392627,145,-0.026602718219131776,135
run_00166,-0.43494562828703737,218,-0.16268732600955077,168,-0.16268732600955077,168,-0.023247255833957297,134
run_00122,-0.44802502316114207,219,-0.6925855760073242,233,-0.6925855760073242,233,-0.8688576624587919,241
run_00211,-0.4529856491276408,220,-0.12812972898582214,159,-0.12812972898582214,159,-0.32366806614357735,194
run_00120,-0.4616058329343142,221,-0.31616576255568035,199,-0.31616576255568035,199,-0.2862463334872036,186
run_00209,-0.4683018524573612,222,-0.4911109344814753,221,-0.4911109344814753,221,-0.5184885862184018,220
run_00009,-0.46862183190852963,223,-0.5253366970718644,223,-0.5253366970718644,223,-0.4278198655831711,210
run_00016,-0.4801871546988013,224,-0.2344624932953182,187,-0.2344624932953182,187,-0.11822014985040552,157
run_00044,-0.48775680235818647,225,-0.40297072428783226,211,-0.40297072428783226,211,-0.3653621815489095,199
run_00136,-0.4969483953936014,226,-0.4547285637445764,217,-0.4547285637445764,217,-0.5987119323391555,226
run_00154,-0.5002935462497322,227,-0.030221053565272826,136,-0.030221053565272826,136,-0.14820404056018546,161
run_00234,-0.5146679308828478,228,-0.4664860542484295,218,-0.4664860542484295,218,-0.46008763084467436,216
run_00119,-0.5178803872242109,229,0.1851702343492763,74,0.1851702343492763,74,0.21470339853095396,69
run_00005,-0.5182348001626886,230,-0.5311001952531578,225,-0.5311001952531578,225,-0.5186457197917232,221
run_00059,-0.5222386893958432,231,-0.16199043458966067,167,-0.16199043458966067,167,-0.119682772878635,159
run_00085,-0.6568918170726572,232,-0.5158777016209082,222,-0.5158777016209082,222,-0.4683311128893273,217
run_00109,-0.6666309290768772,233,-0.9169008397180235,241,-0.9169008397180235,241,-0.654789624597398,230
run_00003,-0.6855481588354085,234,-1.0160451790514229,242,-1.0160451790514229,242,-0.7810331883968512,239
run_00208,-0.7122376427824818,235,-0.6366915925288351,231,-0.6366915925288351,231,-0.5550275615131135,223
run_00007,-0.7165397855835719,236,-0.6119648509997959,230,-0.6119648509997959,230,-0.559966364876456,224
run_00029,-0.9050672534639633,237,-0.706877471553876,235,-0.706877471553876,235,-0.6299912963367351,227
run_00057,-1.0345388596974747,238,-0.8003782782815253,237,-0.8003782782815253,237,-0.7698444382296485,237
run_00004,-1.0601531288279882,239,-0.8525216642525973,239,-0.8525216642525973,239,-0.7681404051936321,236
run_00036,-1.2471564857721218,240,-0.6937466581155146,234,-0.6937466581155146,234,-0.8469431428297108,240
run_00134,-1.290932132556114,241,-0.839038232380355,238,-0.839038232380355,238,-0.6538452275254713,229
run_00043,-1.712663269667595,242,-0.5371379204259616,226,-0.5371379204259616,226,-0.42920833275469045,211
