run_name,kind,block,source,effective_buckets,nonzero_buckets,max_epochs,max_epochs_bucket,cc_share,synth_qa_share,stack_share,tv_to_proportional
apriori_swarm_190_ladder_C_code_math_forward_dolmino_synth_qa_x3,ladder_C_code_math_forward_dolmino_synth_qa_x3,ladder,new,11.207057673465425,39,3.5999683162006115,dolma3_finemath_3plus,0.21334295750691384,0.30002834573842113,0.15250559013387843,0.4304983310017824
apriori_swarm_191_ladder_C_code_math_forward_dolmino_synth_qa_x8,ladder_C_code_math_forward_dolmino_synth_qa_x8,ladder,new,6.6502282932610886,39,6.399742111672354,dolmino_synth_qa,0.14222415895037946,0.5333669272245247,0.10166719138745997,0.5292608875191396
apriori_swarm_192_ladder_C_code_math_forward_dolmino_olmocr_pdfs_hq_x0.25,ladder_C_code_math_forward_dolmino_olmocr_pdfs_hq_x0.25,ladder,new,13.457328108773728,39,4.671134935394742,dolmino_stack_edu_fim,0.27682292023134775,0.12976715017930476,0.19788346100478665,0.38381858722819145
apriori_swarm_193_ladder_C_code_math_forward_dolmino_olmocr_pdfs_hq_x3,ladder_C_code_math_forward_dolmino_olmocr_pdfs_hq_x3,ladder,new,13.664245830724667,39,4.09969172857301,dolma3_stack_edu,0.24295779335177284,0.11389208823735883,0.17367539142479657,0.40088349515692356
apriori_swarm_194_ladder_C_code_math_forward_dolmino_olmocr_pdfs_hq_x8,ladder_C_code_math_forward_dolmino_olmocr_pdfs_hq_x8,ladder,new,11.254346797215225,39,8.94328179494393,dolmino_olmocr_pdfs_hq,0.19875031045739433,0.09316880756750108,0.142074215806323,0.4450909780513018
apriori_swarm_195_ladder_C_code_math_forward_dolma3_stack_edu_x0.25,ladder_C_code_math_forward_dolma3_stack_edu_x0.25,ladder,new,13.697168999142155,39,4.846801220410934,dolmino_stack_edu_fim,0.287233335403879,0.13464727321244732,0.1282742431224087,0.35660795310481713
apriori_swarm_196_ladder_C_code_math_forward_dolma3_stack_edu_x3,ladder_C_code_math_forward_dolma3_stack_edu_x3,ladder,new,12.170316645378518,39,11.337367771401698,dolma3_stack_edu,0.22396007948269403,0.10498647021031136,0.32030253548773746,0.4198812090260024
apriori_swarm_197_ladder_C_code_math_forward_dolma3_stack_edu_x8,ladder_C_code_math_forward_dolma3_stack_edu_x8,ladder,new,8.005604967534747,39,21.586990323430715,dolma3_stack_edu,0.15991225320471672,0.07496256942808445,0.5146815749541301,0.4859666864055628
apriori_swarm_198_ladder_C_code_math_forward_dolmino_stack_edu_fim_x0.25,ladder_C_code_math_forward_dolmino_stack_edu_fim_x0.25,ladder,new,13.695981012581338,39,4.846277644933184,dolma3_finemath_3plus,0.2872023070361019,0.13463272794698378,0.1283684112569925,0.35663898147259443
apriori_swarm_199_ladder_C_code_math_forward_dolmino_stack_edu_fim_x3,ladder_C_code_math_forward_dolmino_stack_edu_fim_x3,ladder,new,12.17475249842519,39,11.339915102005714,dolmino_stack_edu_fim,0.22401039983712256,0.10501005904097882,0.3201498180150635,0.4198308886715738
